col1,col2,col3,col4,col5
0.548813503927325,0.715189366372419,0.602763376071638,0.544883182996897,0.423654799338904
0.645894113066656,0.437587211262692,0.891773000782078,0.963662760501029,0.383441518825777
0.791725038082665,0.528894919752647,0.568044561093932,0.925596638292661,0.0710360581978869
0.0871292997015401,0.0202183974403257,0.832619845547938,0.77815675094985,0.870012148246819
0.978618342232764,0.799158564216723,0.461479362252931,0.780529176286455,0.118274425868933
0.639921021327523,0.143353287409046,0.944668917049877,0.521848321750071,0.414661939990523
0.264555612104626,0.774233689434216,0.456150332216352,0.568433948868648,0.0187898004363551
0.617635497075877,0.612095722722421,0.616933996874753,0.943748077475915,0.681820299103483
0.359507900573786,0.437031953799341,0.697631195927264,0.0602254716292691,0.666766715445667
0.670637869618159,0.210382558856397,0.128926297654853,0.315428350924069,0.363710770942622
